Departament,Cdig,Tama,P1,P2,P3,P4,P5,P6,P7,P8,Robo
12,4772,MEDIANA,0,0,0,0,0,0,0,0,0
12,5610,MICRO,0,1,0,0,0,0,0,0,0
12,4921,PEQUEÑA,0,0,0,0,0,0,0,0,1
12,4100,PEQUEÑA,0,1,0,1,0,0,0,0,0
12,4752,MICRO,0,0,0,1,0,0,0,0,0
12,6910,PEQUEÑA,0,1,0,1,0,0,0,0,0
12,4752,MICRO,0,0,0,0,0,0,0,0,0
13,7110,MEDIANA,0,0,0,1,0,0,0,0,0
13,1079,PEQUEÑA,0,1,0,0,0,0,0,0,0
13,4220,PEQUEÑA,0,1,1,0,0,0,0,0,1
13,4663,PEQUEÑA,0,1,0,1,0,0,0,0,0
13,4630,GRANDE,0,0,0,1,0,0,0,0,0
13,4663,GRANDE,1,1,0,1,1,0,0,0,0
13,4923,GRANDE,1,1,1,1,0,0,0,1,0
13,9329,PEQUEÑA,0,1,1,0,0,0,1,0,0
13,4771,GRANDE,0,1,0,1,0,0,0,0,0
13,6419,GRANDE,0,0,1,1,1,0,0,1,0
13,4100,GRANDE,1,0,0,0,0,0,0,1,1
13,8299,PEQUEÑA,0,1,1,1,0,0,0,0,0
13,4690,GRANDE,1,1,0,1,0,0,0,0,1
13,4752,PEQUEÑA,0,0,0,0,0,1,0,0,1
13,4510,GRANDE,0,1,0,1,0,0,0,1,0
13,8521,PEQUEÑA,0,1,1,1,0,0,0,0,0
13,4773,PEQUEÑA,0,1,0,1,0,0,0,0,0
13,8521,MEDIANA,1,1,1,1,0,0,0,1,0
13,4730,GRANDE,1,1,1,1,1,0,0,0,0
13,6190,PEQUEÑA,0,1,0,0,0,0,0,0,0
13,5610,MICRO,0,1,0,0,0,0,0,0,0
13,4721,MEDIANA,0,1,1,0,0,0,0,1,1
13,1010,PEQUEÑA,0,1,0,0,0,0,0,0,0
13,4661,GRANDE,0,1,0,1,0,0,0,0,0
13,729,GRANDE,1,1,0,0,0,0,0,1,1
13,4772,PEQUEÑA,0,1,0,1,0,0,0,0,0
13,4663,MEDIANA,1,0,1,0,0,0,0,0,0
13,8690,PEQUEÑA,0,1,0,0,0,0,0,0,0
13,4921,MICRO,0,1,0,0,0,0,0,0,0
13,4100,PEQUEÑA,0,1,0,1,0,1,0,0,0
13,6512,PEQUEÑA,1,0,0,0,0,0,0,0,0
13,729,PEQUEÑA,1,1,0,1,0,0,0,0,0
13,4510,MEDIANA,0,0,1,0,0,0,0,0,0
13,4923,PEQUEÑA,0,1,0,0,0,0,0,0,0
13,4922,GRANDE,0,1,1,0,0,0,0,0,0
13,4771,MICRO,1,1,0,1,1,0,0,0,0
13,4922,PEQUEÑA,1,1,1,1,0,0,0,0,0
13,9609,PEQUEÑA,0,1,0,0,0,0,0,0,0
13,4661,PEQUEÑA,0,1,0,1,0,0,0,0,0
13,4100,MICRO,0,1,0,0,0,0,0,0,0
13,2021,GRANDE,1,1,1,1,0,0,0,0,0
13,4100,PEQUEÑA,0,1,0,0,0,0,0,0,0
13,4922,PEQUEÑA,0,1,1,1,0,1,0,0,0
13,2220,GRANDE,0,1,1,0,0,0,0,0,0
13,4329,PEQUEÑA,0,1,0,0,0,0,0,0,0
13,8010,PEQUEÑA,0,1,0,1,0,0,1,0,0
13,7310,PEQUEÑA,0,1,0,1,0,0,0,0,0
13,5510,PEQUEÑA,1,1,0,1,0,0,0,0,0
13,5610,PEQUEÑA,0,1,0,1,1,0,0,0,0
13,4100,MEDIANA,0,1,0,1,0,0,0,1,0
14,7110,PEQUEÑA,0,1,0,0,0,0,0,0,0
14,7110,PEQUEÑA,0,0,0,0,0,0,0,0,0
14,3510,MICRO,1,0,0,0,0,0,0,0,0
14,4630,MEDIANA,0,1,1,1,0,0,0,0,0
14,8690,PEQUEÑA,1,1,1,1,0,1,1,1,0
14,4100,PEQUEÑA,0,0,0,0,0,0,0,0,0
14,8549,PEQUEÑA,0,1,1,1,0,0,0,1,0
14,6810,PEQUEÑA,0,1,0,1,0,0,0,1,0
14,5610,PEQUEÑA,0,1,1,0,0,0,0,1,0
14,4730,MEDIANA,0,1,1,1,1,0,0,1,0
14,4669,PEQUEÑA,0,1,0,1,0,0,0,1,0
14,5610,PEQUEÑA,1,1,0,1,0,0,0,1,0
14,4730,GRANDE,0,1,0,0,0,0,0,0,0
14,1079,GRANDE,1,1,1,1,0,0,0,1,0
14,1101,MEDIANA,1,1,1,1,1,1,0,1,0
14,4923,PEQUEÑA,0,0,0,0,0,0,0,0,0
14,4630,PEQUEÑA,0,1,1,0,0,0,0,0,0
14,4663,PEQUEÑA,0,1,0,1,0,0,0,0,0
14,7110,PEQUEÑA,0,0,1,1,1,1,1,1,0
14,8010,PEQUEÑA,0,1,0,0,0,0,1,1,0
14,4641,MICRO,0,0,0,0,0,0,0,0,0
14,6512,PEQUEÑA,0,1,0,1,0,0,0,0,0
14,8549,MICRO,0,0,0,0,0,0,0,0,0
14,4641,GRANDE,0,0,0,1,0,0,0,0,0
14,6190,PEQUEÑA,0,1,1,1,0,0,0,0,1
14,4100,MEDIANA,1,1,1,1,0,0,0,0,1
14,4290,PEQUEÑA,0,0,0,0,0,0,0,0,0
14,9609,MEDIANA,1,1,0,1,0,0,0,0,0
